"year_day","created_by_id","premise_id","apartment_id","category_id","priority","performer_id","due_date_hours","assigned_hours","completed_hours"
289,79656,9306,626627,18944,1,2441,,0,1
289,46935,9883,621436,11174,3,2419,72,0,196
289,89889,9754,618589,11174,3,9684,72,0,11
289,67419,40034,1264260,17652,1,8111,,0,531
289,67419,40034,1264260,17651,1,8111,,0,538
289,79656,9313,625278,11173,3,2442,72,0,20
289,79656,9197,628426,11173,3,2434,72,0,4
289,46935,9856,622172,11154,3,2419,72,0,4
289,51538,9803,616652,16493,3,8111,72,0,29
289,46935,9880,621190,11170,3,2419,72,0,1944
289,51538,72148,2994427,11189,1,8111,72,0,1
289,79656,9180,627267,11174,3,2442,72,0,207
289,88451,40034,1264175,17659,,9754,,2842,2870
289,90856,60704,2594373,17659,1,9754,,0,33
289,46935,9752,618778,11170,3,9724,72,0,26
289,51538,40034,1264237,11170,3,8111,72,0,535
289,51538,9907,614606,11170,3,8111,72,0,58
289,78590,9804,616467,11162,3,2419,,2830,3420
289,79656,9205,625255,18944,3,2441,72,1,4
289,51538,9907,614668,11152,3,2419,,2842,2871
289,46935,9750,618984,11170,3,9724,72,0,31
289,51538,9838,614467,11173,3,8111,72,0,481
289,79656,9273,627287,11174,3,2442,72,0,20
289,79656,9298,626653,11173,3,2442,72,0,17
289,46935,9763,618220,11170,3,9724,72,0,35
289,51538,9843,767820,11162,,9835,,0,405
289,51538,9907,614588,11173,3,8111,72,0,434
289,46906,9760,618342,12216,3,9724,72,0,200
289,51538,9800,616787,18944,1,8111,,0,6
289,46935,61581,2617962,11173,3,8111,72,0,264
289,46935,83998,621468,11152,3,2419,72,0,2014
289,46935,9883,621468,11152,3,2419,72,0,2014
289,79656,9205,625228,18944,3,2441,,0,16
289,46935,61560,2617683,11162,3,8111,,0,1173
289,79656,9313,625209,11170,3,2442,72,0,47
289,46935,9894,622308,11173,3,2419,72,0,190
289,79656,9350,625747,11173,3,2434,72,0,10
289,89817,9803,616731,11159,1,2461,72,0,11
